"x.pos","y.pos","response","pp.wts"
670.31607917149,-2170.46112850024,0,3.92946342109948
672.306682788444,-2170.46112850024,0,3.92946342109948
674.297286405397,-2170.46112850024,0,3.92946342109948
676.28789002235,-2170.46112850024,0,3.92946342109948
678.278493639304,-2170.46112850024,0,3.92946342109948
680.269097256257,-2170.46112850024,0,3.92946342109948
682.259700873211,-2170.46112850024,0,3.92946342109948
684.250304490164,-2170.46112850024,0,3.92946342109948
686.240908107118,-2170.46112850024,0,3.92946342109948
688.231511724071,-2170.46112850024,0,3.92946342109948
690.222115341024,-2170.46112850024,0,3.92946342109948
692.212718957978,-2170.46112850024,0,3.92946342109948
694.203322574931,-2170.46112850024,0,3.92946342109948
696.193926191885,-2170.46112850024,0,3.92946342109948
698.184529808838,-2169.96206351398,0,3.92946342109948
435.424852370988,-2167.96580356895,0,3.92946342109948
437.415455987941,-2167.96580356895,0,3.92946342109948
439.406059604894,-2168.46486855521,0,3.92946342109948
441.396663221848,-2168.46486855521,0,3.92946342109948
443.387266838801,-2168.46486855521,0,3.92946342109948
445.377870455755,-2168.46486855521,0,3.92946342109948
447.368474072708,-2168.46486855521,0,3.92946342109948
449.359077689662,-2168.46486855521,0,3.92946342109948
451.349681306615,-2168.46486855521,0,3.92946342109948
453.340284923568,-2168.46486855521,0,3.92946342109948
455.330888540522,-2168.46486855521,0,3.92946342109948
457.321492157475,-2168.46486855521,0,3.92946342109948
459.312095774429,-2168.46486855521,0,3.92946342109948
461.302699391382,-2167.96580356895,0,3.92946342109948
463.293303008335,-2167.96580356895,0,3.92946342109948
634.485214066329,-2167.96580356895,0,3.92946342109948
636.475817683282,-2167.96580356895,0,3.92946342109948
638.466421300236,-2168.46486855521,0,3.92946342109948
640.457024917189,-2168.46486855521,0,3.92946342109948
642.447628534142,-2168.46486855521,0,3.92946342109948
644.438232151096,-2168.46486855521,0,3.92946342109948
646.428835768049,-2168.46486855521,0,3.92946342109948
648.419439385003,-2168.46486855521,0,3.92946342109948
650.410043001956,-2168.46486855521,0,3.92946342109948
652.400646618909,-2168.46486855521,0,3.92946342109948
654.391250235863,-2168.46486855521,0,3.92946342109948
656.381853852816,-2168.46486855521,0,3.92946342109948
658.37245746977,-2168.46486855521,0,3.92946342109948
660.363061086723,-2168.46486855521,0,3.92946342109948
662.353664703677,-2168.46486855521,0,3.92946342109948
664.34426832063,-2168.46486855521,0,3.92946342109948
666.334871937583,-2168.46486855521,0,3.92946342109948
668.325475554537,-2168.46486855521,0,3.92946342109948
670.31607917149,-2168.46486855521,0,3.92946342109948
672.306682788444,-2168.46486855521,0,3.92946342109948
674.297286405397,-2168.46486855521,0,3.92946342109948
676.28789002235,-2168.46486855521,0,3.92946342109948
678.278493639304,-2168.46486855521,0,3.92946342109948
680.269097256257,-2168.46486855521,0,3.92946342109948
682.259700873211,-2168.46486855521,0,3.92946342109948
684.250304490164,-2168.46486855521,0,3.92946342109948
686.240908107118,-2168.46486855521,0,3.92946342109948
688.231511724071,-2168.46486855521,0,3.92946342109948
690.222115341024,-2168.46486855521,0,3.92946342109948
692.212718957978,-2168.46486855521,0,3.92946342109948
694.203322574931,-2168.46486855521,0,3.92946342109948
696.193926191885,-2168.46486855521,0,3.92946342109948
698.184529808838,-2168.46486855521,0,3.92946342109948
700.175133425792,-2168.46486855521,0,3.92946342109948
702.165737042745,-2167.96580356895,0,3.92946342109948
431.443645137081,-2165.96954362391,0,3.92946342109948
433.434248754034,-2166.46860861017,0,3.92946342109948
435.424852370988,-2166.46860861017,0,3.92946342109948
437.415455987941,-2166.46860861017,0,3.92946342109948
439.406059604894,-2166.46860861017,0,3.92946342109948
441.396663221848,-2166.46860861017,0,3.92946342109948
443.387266838801,-2166.46860861017,0,3.92946342109948
445.377870455755,-2166.46860861017,0,3.92946342109948
447.368474072708,-2166.46860861017,0,3.92946342109948
449.359077689662,-2166.46860861017,0,3.92946342109948
451.349681306615,-2166.46860861017,0,3.92946342109948
453.340284923568,-2166.46860861017,0,3.92946342109948
455.330888540522,-2166.46860861017,0,3.92946342109948
