"date","year","month","day","x.pos","y.pos","code","death","response"
"29/10/2004",2004,10,29,458399.97197578,-2087479.17389652,"ANS",0,0
"29/10/2004",2004,10,29,491204.460490053,-2138282.42602886,"ANS",0,0
"08/11/2004",2004,11,8,667982.816225591,-2101111.3835677,"Unk",1,1
"08/11/2004",2004,11,8,495221.336634658,-2098119.38304518,"Unk",0,0
"08/11/2004",2004,11,8,497899.254064395,-2112206.42050961,"Unk",0,0
"10/11/2004",2004,11,10,662499.992879058,-2102499.94222913,"ANS",1,1
"10/11/2004",2004,11,10,642841.534948889,-2144876.35845902,"ANS",0,0
"10/11/2004",2004,11,10,473128.517839331,-2100067.59035409,"ANS",0,0
"21/11/2004",2004,11,21,711900.02055885,-2063186.72756206,"Unk",1,1
"21/11/2004",2004,11,21,700221.683571217,-2056010.81222756,"Unk",1,1
"21/11/2004",2004,11,21,703000.104039158,-2056937.06813262,"Unk",1,1
"21/11/2004",2004,11,21,711896.357622789,-2063513.28704803,"Unk",1,1
"21/11/2004",2004,11,21,459404.191011931,-2142328.70274736,"Unk",0,0
"21/11/2004",2004,11,21,638824.658804284,-2026934.88521963,"Unk",0,0
"21/11/2004",2004,11,21,562504.012056791,-2117601.45613428,"Unk",0,0
"21/11/2004",2004,11,21,490869.720811336,-2080135.93096294,"Unk",0,0
"21/11/2004",2004,11,21,469111.641694726,-2059155.23686699,"Unk",0,0
"21/11/2004",2004,11,21,579910.475350078,-2131838.35569939,"Unk",0,0
"21/11/2004",2004,11,21,641837.315912738,-2141579.39224394,"Unk",0,0
"21/11/2004",2004,11,21,635477.262017113,-2035776.74916007,"Unk",0,0
"13/01/2005",2005,1,13,694072.390372814,-2046856.22099211,"Unk",1,1
"13/01/2005",2005,1,13,641167.836555304,-2162110.50003783,"Unk",0,0
"13/01/2005",2005,1,13,618070.798723825,-2040872.06058337,"Unk",0,0
"21/01/2005",2005,1,21,667499.992629932,-2037499.94429548,"DES",1,1
